"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation"
"65","Kiruna 3","434.82500","432.82500","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"66","Kristineberg","145.67500","145.07500","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"67","Lulea 1","145.65000","145.05000","A-Analog","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"68","Lulea 2","434.90000","432.90000","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","2","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"69","Lycksele 1","145.77500","145.17500","A-Analog","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"70","Lycksele 2","434.77500","433.17500","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"71","Nordmaling","434.67500","432.67500","A-Analog","Mid","12.5K","Off","67.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"72","Pitea 1","145.60000","145.00000","A-Analog","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"73","Pitea 2","434.60000","432.60000","A-Analog","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"74","Seskaro","145.67500","145.07500","D+A TX D","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","2","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
